home_team,away_team,competition_name,prediction,status,result,start_date
Paksi,Ferencvarosi,NB I,2,won,0 - 3,2018-12-01T18:30:00
AZ Alkmaar,Willem II Tilburg,Eredivisie,1,lost,0 - 2,2018-12-01T18:45:00
Benfica,Feirense,Primeira Liga,1,won,4 - 0,2018-12-01T18:00:00
Viitorul Constanta,Dinamo Bucuresti,Liga I,1X,won,04-Jan,2018-12-01T18:00:00
NK Krsko,ND Gorica,1. SNL,1X,won,1 - 0,2018-12-01T18:15:00
Vereya Stara Zagora,Lokomotiv Plovdiv,First PFL,2,lost,02-Feb,2018-12-01T10:30:00
Sampdoria,Bologna,Serie A,1X,won,04-Jan,2018-12-01T19:30:00
Legia Warszawa,Korona Kielce,Ekstraklasa,1,won,3 - 0,2018-12-01T19:30:00
Sporting Gijon,Tenerife,Segunda Division,1X,won,02-Jan,2018-12-01T19:30:00
SC Braga,Moreirense,Primeira Liga,1,won,2 - 0,2018-12-01T20:30:00
Alma Juventus Fano,Rimini,Serie C,1X,won,1 - 0,2018-12-01T17:30:00
Boluspor,Adana Demirspor,TFF First League,1X,lost,02-Mar,2018-12-01T10:30:00
Mladost Lucani,Partizan Belgrade,SuperLiga,2,lost,01-Jan,2018-12-01T14:30:00
Altay,Altinordu,TFF First League,1X,lost,01-Feb,2018-12-01T10:30:00
Gubbio,Monza 1912,Serie C,1X,won,0 - 0,2018-12-01T13:30:00
Raith Rovers,Airdrie United,League One,1,won,2 - 0,2018-12-01T15:00:00
Arsenal Kiev,Karpaty Lvov,Premier League,2,lost,01-Jan,2018-12-01T15:00:00
Nottingham,Ipswich,Championship,1,won,2 - 0,2018-12-01T15:00:00
FK Sarajevo,Celik Zenica,Premier League,1,won,03-Jan,2018-12-01T15:00:00
Bolton,Wigan,Championship,1X,won,01-Jan,2018-12-01T15:00:00
Banants,Shirak,Premier League,1X,won,4 - 0,2018-12-01T10:00:00
Wehen Wiesbaden,Sportfreunde Lotte,3. Liga,1,won,2 - 0,2018-12-01T13:00:00
OFK Petrovac,Iskra Danilovgrad,Prva Liga,1X,lost,01-Feb,2018-12-01T14:30:00
Vitoria Guimaraes B,Oliveirense,Segunda Liga,1X,won,01-Jan,2018-12-01T15:00:00
Huddersfield,Brighton,Premier League,1X,lost,01-Feb,2018-12-01T15:00:00
Stranraer,Forfar Athletic,League One,12,won,02-Jan,2018-12-01T15:00:00
Cova da Piedade,Famalicao,Segunda Liga,1X,won,0 - 0,2018-12-01T15:00:00
Varzim,Academico de Viseu,Segunda Liga,12,lost,0 - 0,2018-12-01T15:00:00
Gernika Club,Arenas Club de Getxo,Segunda Division B Group 2,1X,won,2 - 0,2018-12-01T17:30:00
Academica Coimbra,Arouca,Segunda Liga,12,won,2 - 0,2018-12-01T15:00:00
Recreativo Huelva,Sevilla Atletico,Segunda Division B Group 4,1,won,02-Jan,2018-12-01T16:00:00
Cittadella,Salernitana,Serie B,1X,won,03-Jan,2018-12-01T14:00:00
Rad Belgrade,Vojvodina Novi Sad,SuperLiga,12,won,0 - 1,2018-12-01T12:00:00
Sudtirol,Pordenone,Serie C,12,lost,01-Jan,2018-12-01T13:30:00
Leioa,Izarra,Segunda Division B Group 2,1,lost,02-Feb,2018-12-01T16:00:00
Derby County,Swansea,Championship,12,won,02-Jan,2018-12-01T15:00:00
NK Aluminij Kidricevo,Olimpija Ljubljana,1. SNL,2,lost,06-Feb,2018-12-01T12:30:00
Arbroath,Stenhousemuir,League One,1,won,05-Feb,2018-12-01T15:00:00
Peterhead,Annan Athletic,League Two,1,won,02-Jan,2018-12-01T15:00:00
Kilmarnock,Hibernian,Premiership,12,won,3 - 0,2018-12-01T15:00:00
FC Orenburg,Krylya Sovetov Samara,Premier League,1X,postponed,postp,2018-12-01T13:30:00
Teramo,Renate,Serie C,1X,won,02-Feb,2018-12-01T13:30:00
MSK Zilina,DAC Dunajska Streda,Superliga,1X,won,02-Feb,2018-12-01T14:30:00
Borussia Dortmund,Freiburg,Bundesliga,1,won,2 - 0,2018-12-01T14:30:00
Clyde,Berwick Rangers,League Two,1,lost,03-Mar,2018-12-01T15:00:00
Hannover,Hertha Berlin,Bundesliga,12,won,0 - 2,2018-12-01T14:30:00
Maccabi Haifa,Hapoel Haifa,Premier League,1,lost,01-Mar,2018-12-01T19:00:00
Bnei Yehuda,Bnei Sakhnin,Premier League,1,lost,0 - 1,2018-12-01T14:00:00
Dunfermline Athletic,Greenock Morton,Championship,1,won,3 - 0,2018-12-01T15:00:00
Giana Erminio,FeralpiSalo,Serie C,12,won,02-Apr,2018-12-01T13:30:00
Espanyol B,Ebro,Segunda Division B Group 3,1X,won,0 - 0,2018-12-01T15:00:00
Maccabi Petah Tikva,Maccabi Tel Aviv,Premier League,2,lost,01-Jan,2018-12-01T19:00:00
MFK Zemplin Michalovce,Zlate Moravce,Superliga,1X,won,3 - 0,2018-12-01T13:00:00
Cordoba,Elche,Segunda Division,1X,won,01-Jan,2018-12-01T15:00:00
Mlada Boleslav,Karvina,First League,1,lost,01-Jan,2018-12-01T14:00:00
Saint Mirren,Hamilton Academical,Premiership,12,won,01-Mar,2018-12-01T15:00:00
Connah's Quay Nomads,Llandudno FC,Premier League,1,won,3 - 0,2018-12-01T14:30:00
Alloa Athletic,Ross County,Championship,2,won,0 - 1,2018-12-01T15:00:00
Crystal Palace,Burnley,Premier League,1,won,2 - 0,2018-12-01T15:00:00
Mafra,Porto B,Segunda Liga,1X,won,02-Jan,2018-12-01T11:00:00
Braintree,Barrow,National League,2,won,0 - 2,2018-12-01T15:00:00
Alki Oroklini,Nea Salamina Famagusta,First Division,2,lost,2 - 0,2018-12-01T15:00:00
Stuttgart,Augsburg,Bundesliga,1X,won,1 - 0,2018-12-01T14:30:00
Newcastle,West Ham,Premier League,12,won,0 - 3,2018-12-01T15:00:00
Aldershot,Ebbsfleet United,National League,1X,lost,0 - 2,2018-12-01T15:00:00
Ards FC,Warrenpoint Town,NIFL Premiership,12,lost,01-Jan,2018-12-01T15:00:00
Manchester City,Bournemouth,Premier League,1,won,03-Jan,2018-12-01T15:00:00
